sim_no,UHI_d,asphalt_ratio,park_grass_ratio,parcel_grass_ratio,podium_grass_ratio,GnPR,TCR,greenroof_ratio,SCR,parcel_fp_ratio,podium_fp_ratio,tower_GFA,podium_GFA,total_GFA,avg_BH,avg_GPR,parcelArea,parkLocation,parkRadius,roadDensity,bldDensity,podiumDensity,treeDensity,roofType
8704,0.292363,0.048316,0.079221,0.460493,0.217903,0.757617,0.054676,0.169492,0.218642,0.037474,0.024575,1950700,361925.2876,2312600,76.2,2.303887,6,0,100,0.3,9,0.4,9,1
8705,0.22984,0.134203,0.017184,0.419395,0.192949,0.629528,0,0.195199,0.277341,0.050837,0.041071,993161.5639,428581.0881,1421700,27.6,1.338996,2,42,100,0.3,9,0.4,9,1
8706,0.264692,0.09955,0,0.490927,0.164571,0.655498,0,0.204628,0.285275,0.064367,0.040323,1515600,417376.9346,1933000,38.3,1.825964,3,42,100,0.3,9,0.4,9,1
8707,0.326187,0.044727,0,0.495603,0.161667,0.65727,0.032509,0.26002,0.335985,0.061871,0.037983,2031000,545759.0589,2576800,53.1,2.255526,4,42,100,0.3,9,0.4,9,1
8708,0.306701,0.058153,0,0.513369,0.175279,0.688648,0.033746,0.222375,0.284035,0.057596,0.03083,2104300,452102.5742,2556400,58.6,2.285254,5,42,100,0.3,9,0.4,9,1
8709,0.262078,0.048316,0,0.533264,0.257286,0.79055,0.033031,0.143008,0.179258,0.043924,0.018125,1761000,270899.344,2031900,74.3,1.921749,6,42,100,0.3,9,0.4,9,1
8710,0.229292,0.134203,0.020337,0.408302,0.1952,0.623839,0,0.20037,0.283545,0.052951,0.041588,984426.24,436841.2143,1421300,26.5,1.329845,2,72,100,0.3,9,0.4,9,1
8711,0.260902,0.09955,0,0.485452,0.167064,0.652516,0,0.209277,0.286591,0.069842,0.038657,1585400,411615.3868,1997000,36.4,1.858357,3,72,100,0.3,9,0.4,9,1
8712,0.320559,0.044727,0,0.49388,0.163127,0.657007,0.032349,0.260652,0.335878,0.063594,0.037613,1998200,542384.1557,2540600,50.6,2.236475,4,72,100,0.3,9,0.4,9,1
8713,0.319167,0.058153,0.048911,0.453795,0.180722,0.683428,0.039328,0.225305,0.291547,0.05031,0.033121,2035700,481008.9412,2516700,62.6,2.379126,5,72,100,0.3,9,0.4,9,1
